code,type,name,elevation_ft,continent,iso_country,municipality
FOOG,medium_airport,Port Gentil Airport,13,AF,GA,Port Gentil
FOOH,medium_airport,Omboue Hopital Airport,33,AF,GA,Omboue
FOOK,medium_airport,Makokou Airport,1726,AF,GA,Makokou
FOOL,medium_airport,Libreville Leon M'ba International Airport,39,AF,GA,Libreville
FOON,medium_airport,M'Vengue El Hadj Omar Bongo Ondimba International Airport,1450,AF,GA,Franceville
FPPR,medium_airport,Principe Airport,591,AF,ST,
FPST,medium_airport,SÃ£o TomÃ© International Airport,33,AF,ST,SÃ£o TomÃ©
FQBR,medium_airport,Beira Airport,33,AF,MZ,Beira
FQCH,medium_airport,Chimoio Airport,2287,AF,MZ,Chimoio
FQIN,medium_airport,Inhambane Airport,30,AF,MZ,Inhambabe
FQLC,medium_airport,Lichinga Airport,4505,AF,MZ,Lichinga
FQMA,large_airport,Maputo Airport,145,AF,MZ,Maputo
FQMD,medium_airport,Mueda Airport,2789,AF,MZ,Mueda
FQMP,medium_airport,MocÃ­mboa da Praia Airport,89,AF,MZ,MocÃ­mboa da Praia
FQNP,medium_airport,Nampula Airport,1444,AF,MZ,Nampula
FQPB,medium_airport,Pemba Airport,331,AF,MZ,Pemba / Porto Amelia
FQQL,medium_airport,Quelimane Airport,36,AF,MZ,Quelimane
FQTT,medium_airport,Chingozi Airport,525,AF,MZ,Tete
FQVL,medium_airport,Vilankulo Airport,46,AF,MZ,Vilanculo
FSIA,large_airport,Seychelles International Airport,10,AF,SC,Mahe Island
FSPP,medium_airport,Praslin Airport,10,AF,SC,Praslin Island
FTTC,medium_airport,Abeche Airport,1788,AF,TD,
FTTD,medium_airport,Moundou Airport,1407,AF,TD,
FTTJ,large_airport,N'Djamena International Airport,968,AF,TD,N'Djamena
FTTY,medium_airport,Faya Largeau Airport,771,AF,TD,
FVBU,medium_airport,Joshua Mqabuko Nkomo International Airport,4359,AF,ZW,Bulawayo
FVCZ,medium_airport,Buffalo Range Airport,1421,AF,ZW,Chiredzi
FVFA,medium_airport,Victoria Falls International Airport,3490,AF,ZW,Victoria Falls
FVHA,large_airport,Robert Gabriel Mugabe International Airport,4887,AF,ZW,Harare
FVKB,medium_airport,Kariba International Airport,1706,AF,ZW,Kariba
FVMT,medium_airport,Mutoko Airport,3950,AF,ZW,Mutoko
FVMV,medium_airport,Masvingo International Airport,3595,AF,ZW,Masvingo
FVTL,medium_airport,Thornhill Air Base,4680,AF,ZW,Gweru
FVWN,medium_airport,Hwange National Park Airport,3543,AF,ZW,Hwange
FWCL,medium_airport,Chileka International Airport,2555,AF,MW,Blantyre
FWDW,medium_airport,Dwangwa Airport,1605,AF,MW,Dwangwa
FWKA,medium_airport,Karonga Airport,1765,AF,MW,Karonga
FWKI,medium_airport,Lilongwe International Airport,4035,AF,MW,Lilongwe
FWMG,medium_airport,Mangochi Airport,1580,AF,MW,Mangochi
FWUU,medium_airport,Mzuzu Airport,4115,AF,MW,Mzuzu
FXMM,medium_airport,Moshoeshoe I International Airport,5348,AF,LS,Maseru
FYAR,medium_airport,Arandis Airport,1905,AF,NA,Arandis
FYGF,medium_airport,Grootfontein Airport,4636,AF,NA,Grootfontein
FYKT,medium_airport,Keetmanshoop Airport,3506,AF,NA,Keetmanshoop
FYLZ,medium_airport,Luderitz Airport,457,AF,NA,Luderitz
FYML,medium_airport,Mariental Airport,3650,AF,NA,Mariental
FYOA,medium_airport,Ondangwa Airport,3599,AF,NA,Ondangwa
FYOG,medium_airport,Oranjemund Airport,14,AF,NA,Oranjemund
FYRU,medium_airport,Rundu Airport,3627,AF,NA,Rundu
FYTM,medium_airport,Tsumeb Airport,4353,AF,NA,Tsumeb
FYWB,medium_airport,Walvis Bay Airport,299,AF,NA,Walvis Bay
FYWE,medium_airport,Eros Airport,5575,AF,NA,Windhoek
